Membership No  Date Joined  Active  
    28131      2017-9-2     no    
    65804      2017-7-4     no    
    69187      2020-6-11    no    
    28376      2018-2-16    no    
    94455      2018-11-14   no    
    59019      2015-6-17    no    
    45152      2016-6-23    no    
    70345      2020-10-14   no    
    66915      2019-8-22    no    
    93941      2017-7-23    no    
    94657      2016-1-25    no    
    57173      2015-3-22    no    
    57672      2019-4-16    no    
    88210      2019-6-5     no    
    94505      2016-8-16    no    
    54236      2018-1-1     no    
    61520      2019-11-10   no    
