Membership No  Date Joined  Active  
    26921      2019-5-4     no    
    40120      2019-6-7     no    
    48272      2017-6-10    no    
    23552      2015-7-9     no    
    99674      2019-1-15    no    
    60355      2016-12-19   no    
    74936      2016-11-1    no    
    85085      2020-5-12    no    
    52647      2017-9-9     no    
    62297      2020-3-19    no    
    27581      2017-5-22    no    
    53940      2016-10-5    no    
    41702      2015-9-4     no    
    24541      2016-1-15    no    
    41513      2017-9-11    no    
    28717      2018-8-23    no    
    73159      2019-12-18   no    
    85351      2016-9-24    no    
    72154      2016-10-22   no    
